codecommune,n_cantons,has_missing_canton,canton_list,canton_primary_audit,is_multi_canton,canton
57148,1,FALSE,5723,5723,FALSE,5723
57149,1,FALSE,5704,5704,FALSE,5704
57150,1,FALSE,5703,5703,FALSE,5703
57151,1,FALSE,5706,5706,FALSE,5706
57152,1,FALSE,5731,5731,FALSE,5731
57153,1,FALSE,5713,5713,FALSE,5713
57154,1,FALSE,5703,5703,FALSE,5703
57155,1,FALSE,5723,5723,FALSE,5723
57156,1,FALSE,5723,5723,FALSE,5723
57157,0,TRUE,NA,NA,FALSE,missing_canton_57157
57158,1,FALSE,5707,5707,FALSE,5707
57159,1,FALSE,5709,5709,FALSE,5709
57160,1,FALSE,5704,5704,FALSE,5704
57161,1,FALSE,5708,5708,FALSE,5708
57162,1,FALSE,5733,5733,FALSE,5733
57163,1,FALSE,5724,5724,FALSE,5724
57164,0,TRUE,NA,NA,FALSE,missing_canton_57164
57165,1,FALSE,5704,5704,FALSE,5704
57166,1,FALSE,5706,5706,FALSE,5706
57167,1,FALSE,5704,5704,FALSE,5704
57168,1,FALSE,5724,5724,FALSE,5724
57169,1,FALSE,5724,5724,FALSE,5724
57170,0,TRUE,NA,NA,FALSE,missing_canton_57170
57171,1,FALSE,5707,5707,FALSE,5707
57172,1,FALSE,5703,5703,FALSE,5703
57173,1,FALSE,5710,5710,FALSE,5710
57174,1,FALSE,5714,5714,FALSE,5714
57175,1,FALSE,5729,5729,FALSE,5729
57176,1,FALSE,5747,5747,FALSE,5747
57177,1,FALSE,5708,5708,FALSE,5708
57178,1,FALSE,5714,5714,FALSE,5714
57179,1,FALSE,5721,5721,FALSE,5721
57180,1,FALSE,5710,5710,FALSE,5710
57181,1,FALSE,5708,5708,FALSE,5708
57182,1,FALSE,5707,5707,FALSE,5707
57183,1,FALSE,5734,5734,FALSE,5734
57184,1,FALSE,5713,5713,FALSE,5713
57185,0,TRUE,NA,NA,FALSE,missing_canton_57185
57186,1,FALSE,5704,5704,FALSE,5704
57187,1,FALSE,5703,5703,FALSE,5703
