"...1","codecommune","reg","dep","nom","educNoDiplomaPerK1968","educNoDiplomaPerK1975","educNoDiplomaPerK1982","educNoDiplomaPerK1990","educNoDiplomaPerK1999","educNoDiplomaPerK2009","educNoDiplomaPerK2020","educCEPPerK1968","educCEPPerK1975","educCEPPerK1982","educCEPPerK1990","educCEPPerK1999","educCEPPerK2009","educCEPPerK2020","educBEPCPerK1968","educBEPCPerK1975","educBEPCPerK1982","educBEPCPerK1990","educBEPCPerK1999","educBEPCPerK2009","educBEPCPerK2020","educCAPBEPPerK1968","educCAPBEPPerK1975","educCAPBEPPerK1982","educCAPBEPPerK1990","educCAPBEPPerK1999","educCAPBEPPerK2009","educCAPBEPPerK2020","educBACPerK1968","educBACPerK1975","educBACPerK1982","educBACPerK1990","educBACPerK1999","educBACPerK2009","educBACPerK2020","educSUPPerK1968","educSUPPerK1975","educSUPPerK1982","educSUPPerK1990","educSUPPerK1999","educSUPPerK2009","educSUPPerK2020",".audit_education_name_key","zrr_nom",".audit_zrr_name_key",".audit_name_matches_zrr",".audit_row_id",".audit_nonzero_coverage",".audit_observed_coverage",".audit_selected"
6922,"2B344",94,"2B","Verdese",0.404040404040404,0,0,0,0,0,0,0,0.701754385964912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"verdese","Verdèse","verdese",1,6923,1,28,FALSE
6923,"2A345",94,"2A","Vero",0.381471389645777,1.12359550561798,0,0,0,0,0,0.108991825613079,0.112359550561798,0,0,0,0,0,0.0544959128065395,0,0,0,0,0,0,0,0.112359550561798,0,0,0,0,0,0,0.112359550561798,0,0,0,0,0,0,0.112359550561798,0,0,0,0,0,"vero","Vero","vero",1,6924,5,28,FALSE
6924,"2B346",94,"2B","Vescovato",0.281831907398088,0.312380952380952,0,0,0,0,0,0.0603925515853045,0.060952380952381,0,0,0,0,0,0.0301962757926522,0.0304761904761905,0,0,0,0,0,0.0100654252642174,0.0304761904761905,0,0,0,0,0,0.0100654252642174,0.00761904761904762,0,0,0,0,0,0,0,0,0,0,0,0,"vescovato","Vescovato","vescovato",1,6925,6,28,FALSE
6925,"2B347",94,"2B","Vezzani",0.437710437710438,0.457142857142857,0,0,0,0,0,0,0.419047619047619,0,0,0,0,0,0,0.0380952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673400673400673,0,0,0,0,0,0,"vezzani","Vezzani","vezzani",1,6926,3,28,FALSE
6926,"2A348",94,"2A","Vico",0.360144057623049,0.222222222222222,0,0,0,0,0,0.192076830732293,0.244444444444444,0,0,0,0,0,0.0960384153661465,0.0888888888888889,0,0,0,0,0,0.0120048019207683,0.0222222222222222,0,0,0,0,0,0.0360144057623049,0.0111111111111111,0,0,0,0,0,0,0.0222222222222222,0,0,0,0,0,"vico","Vico","vico",1,6927,7,28,FALSE
6927,"2A349",94,"2A","Viggianello",0.299625468164794,0.275862068965517,0,0,0,0,0,0.149812734082397,0.137931034482759,0,0,0,0,0,0.149812734082397,0.0689655172413793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689655172413793,0,0,0,0,0,0.0749063670411985,0,0,0,0,0,0,"viggianello","Viggianello","viggianello",1,6928,4,28,FALSE
6928,"2B350",94,"2B","Vignale",0.714285714285714,0.37037037037037,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,"vignale","Vignale","vignale",1,6929,3,28,FALSE
6929,"2A351",94,"2A","Villanova",0.699300699300699,0.25974025974026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12987012987013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"villanova","Villanova","villanova",1,6930,3,28,FALSE
6930,"2B352",94,"2B","Ville-Di-Paraso",0.386100386100386,0.177777777777778,0,0,0,0,0,0.540540540540541,0.355555555555556,0,0,0,0,0,0.0772200772200772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"villediparaso","Ville-di-Paraso","villediparaso",1,6931,2,28,FALSE
6931,"2B353",94,"2B","Ville-Di-Pietrabugno",0.301409820126398,0.340501792114695,0,0,0,0,0,0.0875060768108896,0.10752688172043,0,0,0,0,0,0.0194457948468644,0.017921146953405,0,0,0,0,0,0.0291686922702965,0.0448028673835125,0,0,0,0,0,0.0680602819640253,0.116487455197133,0,0,0,0,0,0.00972289742343218,0.0896057347670251,0,0,0,0,0,"villedipietrabugno","Ville-di-Pietrabugno","villedipietrabugno",1,6932,8,28,FALSE
6932,"2B354",94,"2B","Vivario",0.35264483627204,0.243093922651934,0,0,0,0,0,0.327455919395466,0.0662983425414365,0,0,0,0,0,0.17632241813602,0.0662983425414365,0,0,0,0,0,0,0.0220994475138122,0,0,0,0,0,0.0755667506297229,0.0441988950276243,0,0,0,0,0,0.0503778337531486,0,0,0,0,0,0,"vivario","Vivario","vivario",1,6933,6,28,FALSE
6933,"2B355",94,"2B","Volpajola",0.339506172839506,0.371621621621622,0,0,0,0,0,0.0925925925925926,0.0675675675675676,0,0,0,0,0,0,0.0675675675675676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337837837837838,0,0,0,0,0,0,0,0,0,0,0,0,"volpajola","Volpajola","volpajola",1,6934,3,28,FALSE
6934,"2B356",94,"2B","Zalana",0.125,0.518518518518518,0,0,0,0,0,0,0.37037037037037,0,0,0,0,0,0,0.0740740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0740740740740741,0,0,0,0,0,0,0.0740740740740741,0,0,0,0,0,"zalana","Zalana","zalana",1,6935,4,28,FALSE
6935,"2A357",94,"2A","Zerubia",0.857142857142857,0.408163265306123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"zerubia","Zérubia","zerubia",1,6936,2,28,FALSE
6936,"2A358",94,"2A","Zevaco",0.434782608695652,0.363636363636364,0,0,0,0,0,0.144927536231884,0.363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,"zevaco","Zévaco","zevaco",1,6937,3,28,FALSE
6937,"2A359",94,"2A","Zicavo",0.28169014084507,0.273224043715847,0,0,0,0,0,0.0704225352112676,0.601092896174863,0,0,0,0,0,0,0.218579234972678,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163934426229508,0,0,0,0,0,0,0.163934426229508,0,0,0,0,0,"zicavo","Zicavo","zicavo",1,6938,4,28,FALSE
6938,"2A360",94,"2A","Zigliara",0.705882352941177,0.0719424460431655,0,0,0,0,0,0.0588235294117647,0.719424460431655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143884892086331,0,0,0,0,0,"zigliara","Zigliara","zigliara",1,6939,3,28,FALSE
6939,"2B361",94,"2B","Zilia",0.195121951219512,0.306748466257669,0,0,0,0,0,0.146341463414634,0.184049079754601,0,0,0,0,0,0.048780487804878,0.0613496932515337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"zilia","Zilia","zilia",1,6940,2,28,FALSE
6940,"2A362",94,"2A","Zonza",0.289855072463768,0.407608695652174,0,0,0,0,0,0.221653878942881,0.14945652173913,0,0,0,0,0,0.0341005967604433,0.0271739130434783,0,0,0,0,0,0,0.0271739130434783,0,0,0,0,0,0.0170502983802217,0.0407608695652174,0,0,0,0,0,0.0170502983802217,0,0,0,0,0,0,"zonza","Zonza","zonza",1,6941,6,28,FALSE
6941,"2A363",94,"2A","Zoza",0.338983050847458,0,0,0,0,0,0,0.169491525423729,0.824742268041237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"zoza","Zoza","zoza",1,6942,1,28,FALSE
6942,"2B364",94,"2B","Zuani",0.32,0.32258064516129,0,0,0,0,0,0.16,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161290322580645,0,0,0,0,0,0,0,0,0,0,0,0,"zuani","Zuani","zuani",1,6943,3,28,FALSE
6943,"2B365",94,"2B","San-Gavino-Di-Fiumorbo",0.555555555555556,0.106100795755968,0,0,0,0,0,0.101010101010101,0.689655172413793,0,0,0,0,0,0,0.0530503978779841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sangavinodifiumorbo","San-Gavino-di-Fiumorbo","sangavinodifiumorbo",1,6944,2,28,FALSE
6944,"2B366",94,"2B","Chisa",0.264900662251656,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.132450331125828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chisa","Chisa","chisa",1,6945,2,28,FALSE
8762,"25012",27,"25","Les Alliés",0.524590163934426,0.298507462686567,0.19047619047619,0.214285714285714,0,0,0.0621936050340236,0.786885245901639,0.298507462686567,0.19047619047619,0.214285714285714,0.155339805825243,0.0747663551401869,0.0621936050340237,0,0,0.0634920634920635,0,0.0388349514563107,0,0.0621936050340236,0,0.0746268656716418,0.126984126984127,0.142857142857143,0.194174757281553,0.299065420560748,0.217677617619083,0.0655737704918033,0,0,0,0.116504854368932,0.11214953271028,0.186580815102071,0,0,0,0.142857142857143,0.116504854368932,0.261682242990654,0.124387210068047,"lesallies","Les Alliés","lesallies",1,8763,19,28,TRUE
10387,"91131",24,"91","Dommerville",0.353982300884956,0,0,0,0,0,0,0.141592920353982,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176991150442478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dommerville","Chalou-Moulineux","chaloumoulineux",0,10388,2,28,FALSE
10917,"2A001",94,"2A","Afa",0,0,0.395644283121597,0.229432213209734,0.127493917274939,0.123461132606402,0.0960244648318043,0,0,0.112522686025408,0.115874855156431,0.11338199513382,0.0576855434400281,0.0302752293577982,0,0,0.0508166969147006,0.0625724217844728,0.0861313868613139,0.0583890256771016,0.0480122324159021,0,0,0.0508166969147006,0.132097334878331,0.181508515815085,0.185015828350334,0.197247706422018,0,0,0.0980036297640653,0.108922363847045,0.126520681265207,0.174463594794232,0.186238532110092,0,0,0.0399274047186933,0.06720741599073,0.103649635036496,0.187478016180091,0.242813455657492,"afa","Afa","afa",1,10918,20,28,TRUE
