codecommune,n_cantons,has_missing_canton,canton_list,canton_primary_audit,is_multi_canton,canton
14641,0,TRUE,NA,NA,FALSE,missing_canton_14641
14642,0,TRUE,NA,NA,FALSE,missing_canton_14642
14673,0,TRUE,NA,NA,FALSE,missing_canton_14673
14683,0,TRUE,NA,NA,FALSE,missing_canton_14683
14725,0,TRUE,NA,NA,FALSE,missing_canton_14725
14736,0,TRUE,NA,NA,FALSE,missing_canton_14736
15014,5,FALSE,1502|1503|1524|1525|1598,1502,TRUE,split_15014
15023,0,TRUE,NA,NA,FALSE,missing_canton_15023
15039,0,TRUE,NA,NA,FALSE,missing_canton_15039
15062,0,TRUE,NA,NA,FALSE,missing_canton_15062
15109,0,TRUE,NA,NA,FALSE,missing_canton_15109
15115,0,TRUE,NA,NA,FALSE,missing_canton_15115
15177,0,TRUE,NA,NA,FALSE,missing_canton_15177
15187,3,FALSE,1519|1520|1599,1519,TRUE,split_15187
15193,0,TRUE,NA,NA,FALSE,missing_canton_15193
15210,0,TRUE,NA,NA,FALSE,missing_canton_15210
15239,0,TRUE,NA,NA,FALSE,missing_canton_15239
16006,0,TRUE,NA,NA,FALSE,missing_canton_16006
16015,4,FALSE,1602|1603|1634|1698,1602,TRUE,split_16015
16022,0,TRUE,NA,NA,FALSE,missing_canton_16022
16080,0,TRUE,NA,NA,FALSE,missing_canton_16080
16102,3,FALSE,1613|1633|1697,1613,TRUE,split_16102
16106,3,FALSE,1614|1615|1699,1614,TRUE,split_16106
16126,0,TRUE,NA,NA,FALSE,missing_canton_16126
16159,0,TRUE,NA,NA,FALSE,missing_canton_16159
16219,0,TRUE,NA,NA,FALSE,missing_canton_16219
16235,0,TRUE,NA,NA,FALSE,missing_canton_16235
16265,0,TRUE,NA,NA,FALSE,missing_canton_16265
16266,0,TRUE,NA,NA,FALSE,missing_canton_16266
16278,0,TRUE,NA,NA,FALSE,missing_canton_16278
16288,0,TRUE,NA,NA,FALSE,missing_canton_16288
16299,0,TRUE,NA,NA,FALSE,missing_canton_16299
16305,0,TRUE,NA,NA,FALSE,missing_canton_16305
16311,0,TRUE,NA,NA,FALSE,missing_canton_16311
16313,0,TRUE,NA,NA,FALSE,missing_canton_16313
16319,0,TRUE,NA,NA,FALSE,missing_canton_16319
16324,0,TRUE,NA,NA,FALSE,missing_canton_16324
16327,0,TRUE,NA,NA,FALSE,missing_canton_16327
16333,0,TRUE,NA,NA,FALSE,missing_canton_16333
16367,0,TRUE,NA,NA,FALSE,missing_canton_16367
16407,0,TRUE,NA,NA,FALSE,missing_canton_16407
17001,0,TRUE,NA,NA,FALSE,missing_canton_17001
17014,0,TRUE,NA,NA,FALSE,missing_canton_17014
17088,0,TRUE,NA,NA,FALSE,missing_canton_17088
17090,0,TRUE,NA,NA,FALSE,missing_canton_17090
17123,0,TRUE,NA,NA,FALSE,missing_canton_17123
17144,0,TRUE,NA,NA,FALSE,missing_canton_17144
17170,0,TRUE,NA,NA,FALSE,missing_canton_17170
17251,0,TRUE,NA,NA,FALSE,missing_canton_17251
17299,4,FALSE,1721|1722|1747|1797,1721,TRUE,split_17299
17300,10,FALSE,1723|1724|1741|1742|1744|1745|1748|1749|1750|1798,1723,TRUE,split_17300
17306,3,FALSE,1725|1743|1796,1725,TRUE,split_17306
17368,0,TRUE,NA,NA,FALSE,missing_canton_17368
17370,0,TRUE,NA,NA,FALSE,missing_canton_17370
17399,0,TRUE,NA,NA,FALSE,missing_canton_17399
17415,4,FALSE,1734|1735|1751|1799,1734,TRUE,split_17415
17419,0,TRUE,NA,NA,FALSE,missing_canton_17419
17456,0,TRUE,NA,NA,FALSE,missing_canton_17456
17475,0,TRUE,NA,NA,FALSE,missing_canton_17475
18033,6,FALSE,1805|1831|1832|1833|1834|1898,1805,TRUE,split_18033
18279,3,FALSE,1829|1830|1899,1829,TRUE,split_18279
19031,6,FALSE,1906|1930|1931|1932|1933|1998,1906,TRUE,split_19031
19197,0,TRUE,NA,NA,FALSE,missing_canton_19197
19224,0,TRUE,NA,NA,FALSE,missing_canton_19224
19267,0,TRUE,NA,NA,FALSE,missing_canton_19267
19272,3,FALSE,1925|1926|1999,1925,TRUE,split_19272
19275,3,FALSE,1927|1937|1997,1927,TRUE,split_19275
20001,0,TRUE,NA,NA,FALSE,missing_canton_20001
20002,0,TRUE,NA,NA,FALSE,missing_canton_20002
20003,0,TRUE,NA,NA,FALSE,missing_canton_20003
20004,0,TRUE,NA,NA,FALSE,missing_canton_20004
20005,0,TRUE,NA,NA,FALSE,missing_canton_20005
20006,0,TRUE,NA,NA,FALSE,missing_canton_20006
20007,0,TRUE,NA,NA,FALSE,missing_canton_20007
20008,0,TRUE,NA,NA,FALSE,missing_canton_20008
20009,0,TRUE,NA,NA,FALSE,missing_canton_20009
20010,0,TRUE,NA,NA,FALSE,missing_canton_20010
20011,0,TRUE,NA,NA,FALSE,missing_canton_20011
20012,0,TRUE,NA,NA,FALSE,missing_canton_20012
20013,0,TRUE,NA,NA,FALSE,missing_canton_20013
20014,0,TRUE,NA,NA,FALSE,missing_canton_20014
20015,0,TRUE,NA,NA,FALSE,missing_canton_20015
20016,0,TRUE,NA,NA,FALSE,missing_canton_20016
20017,0,TRUE,NA,NA,FALSE,missing_canton_20017
20018,0,TRUE,NA,NA,FALSE,missing_canton_20018
20019,0,TRUE,NA,NA,FALSE,missing_canton_20019
20020,0,TRUE,NA,NA,FALSE,missing_canton_20020
20021,0,TRUE,NA,NA,FALSE,missing_canton_20021
20022,0,TRUE,NA,NA,FALSE,missing_canton_20022
20023,0,TRUE,NA,NA,FALSE,missing_canton_20023
20024,0,TRUE,NA,NA,FALSE,missing_canton_20024
20025,0,TRUE,NA,NA,FALSE,missing_canton_20025
20026,0,TRUE,NA,NA,FALSE,missing_canton_20026
20027,0,TRUE,NA,NA,FALSE,missing_canton_20027
20028,0,TRUE,NA,NA,FALSE,missing_canton_20028
20029,0,TRUE,NA,NA,FALSE,missing_canton_20029
20030,0,TRUE,NA,NA,FALSE,missing_canton_20030
20031,0,TRUE,NA,NA,FALSE,missing_canton_20031
20032,0,TRUE,NA,NA,FALSE,missing_canton_20032
20033,0,TRUE,NA,NA,FALSE,missing_canton_20033
20034,0,TRUE,NA,NA,FALSE,missing_canton_20034
20035,0,TRUE,NA,NA,FALSE,missing_canton_20035
20036,0,TRUE,NA,NA,FALSE,missing_canton_20036
20037,0,TRUE,NA,NA,FALSE,missing_canton_20037
20038,0,TRUE,NA,NA,FALSE,missing_canton_20038
20039,0,TRUE,NA,NA,FALSE,missing_canton_20039
20040,0,TRUE,NA,NA,FALSE,missing_canton_20040
20041,0,TRUE,NA,NA,FALSE,missing_canton_20041
20042,0,TRUE,NA,NA,FALSE,missing_canton_20042
20043,0,TRUE,NA,NA,FALSE,missing_canton_20043
20045,0,TRUE,NA,NA,FALSE,missing_canton_20045
20046,0,TRUE,NA,NA,FALSE,missing_canton_20046
20047,0,TRUE,NA,NA,FALSE,missing_canton_20047
20048,0,TRUE,NA,NA,FALSE,missing_canton_20048
20049,0,TRUE,NA,NA,FALSE,missing_canton_20049
20050,0,TRUE,NA,NA,FALSE,missing_canton_20050
20051,0,TRUE,NA,NA,FALSE,missing_canton_20051
20052,0,TRUE,NA,NA,FALSE,missing_canton_20052
20053,0,TRUE,NA,NA,FALSE,missing_canton_20053
20054,0,TRUE,NA,NA,FALSE,missing_canton_20054
20055,0,TRUE,NA,NA,FALSE,missing_canton_20055
20056,0,TRUE,NA,NA,FALSE,missing_canton_20056
20057,0,TRUE,NA,NA,FALSE,missing_canton_20057
20058,0,TRUE,NA,NA,FALSE,missing_canton_20058
20059,0,TRUE,NA,NA,FALSE,missing_canton_20059
20060,0,TRUE,NA,NA,FALSE,missing_canton_20060
20061,0,TRUE,NA,NA,FALSE,missing_canton_20061
20062,0,TRUE,NA,NA,FALSE,missing_canton_20062
20063,0,TRUE,NA,NA,FALSE,missing_canton_20063
20064,0,TRUE,NA,NA,FALSE,missing_canton_20064
20065,0,TRUE,NA,NA,FALSE,missing_canton_20065
20066,0,TRUE,NA,NA,FALSE,missing_canton_20066
20067,0,TRUE,NA,NA,FALSE,missing_canton_20067
20068,0,TRUE,NA,NA,FALSE,missing_canton_20068
20069,0,TRUE,NA,NA,FALSE,missing_canton_20069
20070,0,TRUE,NA,NA,FALSE,missing_canton_20070
20071,0,TRUE,NA,NA,FALSE,missing_canton_20071
20072,0,TRUE,NA,NA,FALSE,missing_canton_20072
20073,0,TRUE,NA,NA,FALSE,missing_canton_20073
20074,0,TRUE,NA,NA,FALSE,missing_canton_20074
20075,0,TRUE,NA,NA,FALSE,missing_canton_20075
20077,0,TRUE,NA,NA,FALSE,missing_canton_20077
20078,0,TRUE,NA,NA,FALSE,missing_canton_20078
20079,0,TRUE,NA,NA,FALSE,missing_canton_20079
20080,0,TRUE,NA,NA,FALSE,missing_canton_20080
20081,0,TRUE,NA,NA,FALSE,missing_canton_20081
20082,0,TRUE,NA,NA,FALSE,missing_canton_20082
20083,0,TRUE,NA,NA,FALSE,missing_canton_20083
20084,0,TRUE,NA,NA,FALSE,missing_canton_20084
20085,0,TRUE,NA,NA,FALSE,missing_canton_20085
20086,0,TRUE,NA,NA,FALSE,missing_canton_20086
20087,0,TRUE,NA,NA,FALSE,missing_canton_20087
20088,0,TRUE,NA,NA,FALSE,missing_canton_20088
20089,0,TRUE,NA,NA,FALSE,missing_canton_20089
20090,0,TRUE,NA,NA,FALSE,missing_canton_20090
20091,0,TRUE,NA,NA,FALSE,missing_canton_20091
20092,0,TRUE,NA,NA,FALSE,missing_canton_20092
20093,0,TRUE,NA,NA,FALSE,missing_canton_20093
20094,0,TRUE,NA,NA,FALSE,missing_canton_20094
20095,0,TRUE,NA,NA,FALSE,missing_canton_20095
20096,0,TRUE,NA,NA,FALSE,missing_canton_20096
20097,0,TRUE,NA,NA,FALSE,missing_canton_20097
20098,0,TRUE,NA,NA,FALSE,missing_canton_20098
20099,0,TRUE,NA,NA,FALSE,missing_canton_20099
20100,0,TRUE,NA,NA,FALSE,missing_canton_20100
20101,0,TRUE,NA,NA,FALSE,missing_canton_20101
20102,0,TRUE,NA,NA,FALSE,missing_canton_20102
20103,0,TRUE,NA,NA,FALSE,missing_canton_20103
20104,0,TRUE,NA,NA,FALSE,missing_canton_20104
20105,0,TRUE,NA,NA,FALSE,missing_canton_20105
20106,0,TRUE,NA,NA,FALSE,missing_canton_20106
20107,0,TRUE,NA,NA,FALSE,missing_canton_20107
